phonome1,phonome2,distance
w,h,73.48612487999999
w,hy,76.14839859999998
w,j,74.50070471999999
w,k,74.62657252
w,ky,74.45986448
w,m,70.44172084
w,my,73.62612664
w,n,70.10814920000001
w,ny,73.47104931999998
w,p,77.08147404
w,py,82.31894048
w,r,70.86314052000002
w,ry,73.43027456
w,s,75.04459312
w,sh,75.81223299999999
w,sp,72.9350116
w,t,76.56011156000001
w,ts,76.82100204
w,w,61.27592739999998
w,y,75.35936360000001
w,z,75.40806844000002
y,b,72.61570431999999
y,by,69.50155112000002
y,ch,76.89777808000001
y,d,72.05036060000002
y,dy,79.65751020000003
y,f,77.55436931999999
y,g,71.11323684
y,gy,67.91325876000002
y,h,74.96857412
y,hy,70.26515411999998
y,j,71.31253972000002
y,k,74.7550492
y,ky,72.35658955999997
y,m,72.93493867999999
y,my,70.50777280000004
y,n,69.71576884
y,ny,69.43558296
y,p,79.40023028000002
y,py,69.83355192
y,r,69.21298352000001
y,ry,66.26898891999996
y,s,75.49721144
y,sh,72.332685
y,sp,74.39318080000001
y,t,77.09294804000001
y,ts,76.82391907999998
y,w,75.01678707999999
y,y,62.630203839999986
y,z,72.76889436000002
z,b,67.27013304
z,by,69.16085924000001
z,ch,66.20697564000001
z,d,65.34360204000001
z,dy,75.50949840000001
z,f,69.73416312
z,g,66.22063364
z,gy,65.9296644
z,h,69.09454760000001
z,hy,69.35628412
z,j,64.29459895999999
z,k,67.10504108
z,ky,67.01823104
z,m,70.36408988
z,my,73.28105116
z,n,67.14445888000002
z,ny,67.67844336000002
z,p,68.96807500000001
z,py,72.60339216
z,r,67.00857196000001
z,ry,67.957643
z,s,66.259172
z,sh,67.66629564
z,sp,68.2498786
z,t,67.60598028000001
z,ts,65.34025568
z,w,74.00760104
z,y,68.05270176
z,z,61.426629000000005
