phonon1,phonon2,distance
b-u:,f-a:,73.805048
b-u:,f-i,73.378205
b-u:,f-i:,71.256958
b-u:,f-u,61.929213
b-u:,f-u:,56.58714
b-u:,f-e,73.429359
b-u:,f-e:,73.378384
b-u:,f-o,69.749262
b-u:,f-o:,73.253186
b-u:,g-a,76.368299
b-u:,g-a:,73.215293
b-u:,g-i,71.795274
b-u:,g-i:,73.712061
b-u:,g-u,61.664245
b-u:,g-u:,56.58714
b-u:,g-e,72.444995
b-u:,g-e:,72.423501
b-u:,g-o,72.062396
b-u:,g-o:,72.108087
b-u:,h-a,72.279248
b-u:,h-a:,70.735676
b-u:,h-i,73.378205
b-u:,h-i:,71.256958
b-u:,h-u,62.274003
b-u:,h-u:,56.58714
b-u:,h-e,72.392982
b-u:,h-e:,72.802367
b-u:,h-o,69.749262
b-u:,h-o:,73.253186
b-u:,y-a,77.072075
b-u:,y-a:,73.510112
b-u:,y-i,74.642019
b-u:,y-i:,72.391162
b-u:,y-u,66.905654
b-u:,y-u:,69.972176
b-u:,y-e,73.552027
b-u:,y-e:,72.659683
b-u:,y-o,74.841891
b-u:,y-o:,74.65738
b-u:,k-a,73.178426
b-u:,k-a:,70.725698
b-u:,k-i,73.814545
b-u:,k-i:,73.735509
b-u:,k-u,62.428227
b-u:,k-u:,56.58714
b-u:,k-e,74.298303
b-u:,k-e:,72.115309
b-u:,k-o,68.848397
b-u:,k-o:,72.362136
b-u:,m-a,75.537032
b-u:,m-a:,73.805048
b-u:,m-i,72.841247
b-u:,m-i:,71.817302
b-u:,m-u,66.53583
b-u:,m-u:,56.58714
b-u:,m-e,76.290562
b-u:,m-e:,74.59458
b-u:,m-o,76.950464
b-u:,m-o:,73.239257
b-u:,n-a,73.510227
b-u:,n-a:,73.318936
b-u:,n-i,72.832289
b-u:,n-i:,71.817302
b-u:,n-u,65.718669
b-u:,n-u:,61.040479
b-u:,n-e,73.220912
b-u:,n-e:,74.246151
b-u:,n-o,73.015746
b-u:,n-o:,72.445716
b-u:,p-a,72.798999
b-u:,p-a:,73.805048
b-u:,p-i,73.102186
b-u:,p-i:,71.256958
b-u:,p-u,62.082592
b-u:,p-u:,56.58714
b-u:,p-e,73.459789
b-u:,p-e:,73.378384
b-u:,p-o,69.756352
b-u:,p-o:,73.598385
b-u:,r-a,77.452855
b-u:,r-a:,73.215293
b-u:,r-i,73.125494
b-u:,r-i:,71.622529
b-u:,r-u,66.788557
b-u:,r-u:,63.107776
b-u:,r-e,71.375335
b-u:,r-e:,74.00005
b-u:,r-o,74.408004
b-u:,r-o:,77.168295
b-u:,s-a,75.435611
b-u:,s-a:,72.009136
b-u:,s-i,73.378205
b-u:,s-i:,71.256958
b-u:,s-u,66.259695
b-u:,s-u:,62.226364
b-u:,s-e,72.368732
b-u:,s-e:,70.14678
b-u:,s-o,72.775
b-u:,s-o:,71.122508
b-u:,t-a,76.407701
b-u:,t-a:,72.046005
b-u:,t-i,73.102186
b-u:,t-i:,71.256958
b-u:,t-u,64.311862
b-u:,t-u:,61.040479
b-u:,t-e,73.459789
b-u:,t-e:,71.622397
b-u:,t-o,72.775
b-u:,t-o:,71.2909
b-u:,w-a,76.658311
b-u:,w-a:,77.710058
b-u:,w-i,73.015806
b-u:,w-i:,71.622529
b-u:,w-u,66.905654
b-u:,w-u:,69.972176
b-u:,w-e,73.552027
b-u:,w-e:,74.00005
