phonon1,phonon2,distance
b+e,g+u,65.645067
b+e,g+e,63.78014
b+e,g+o,67.33424
b+e,h+a,70.509988
b+e,h+i,70.618569
b+e,h+u,70.50999
b+e,h+e,70.83986
b+e,h+o,74.926532
b+e,j+a,65.526424
b+e,j+i,66.485808
b+e,j+u,65.715801
b+e,j+e,66.423963
b+e,j+o,65.58064
b+e,k+a,69.142139
b+e,k+i,68.256272
b+e,k+u,69.1345
b+e,k+e,68.256427
b+e,k+o,71.09968
b+e,m+a,68.725158
b+e,m+i,64.731263
b+e,m+u,67.573448
b+e,m+e,63.53763
b+e,m+o,68.509888
b+e,n+a,65.931357
b+e,n+i,65.429056
b+e,n+u,65.673667
b+e,n+e,64.549772
b+e,n+o,67.977206
b+e,p+a,71.661683
b+e,p+i,69.988441
b+e,p+u,70.167833
b+e,p+e,65.637753
b+e,p+o,72.143528
b+e,r+a,63.594005
b+e,r+i,63.518641
b+e,r+u,62.89468
b+e,r+e,61.6523
b+e,r+o,63.706219
b+e,s+a,70.090262
b+e,s+i,71.06236
b+e,s+u,71.062448
b+e,s+e,70.089487
b+e,s+o,71.062448
b+e,t+a,70.568657
b+e,t+i,70.808737
b+e,t+u,70.629886
b+e,t+e,70.189999
b+e,t+o,69.613796
b+e,w+a,73.196737
b+e,w+i,72.855011
b+e,w+u,73.196737
b+e,w+e,72.855011
b+e,w+o,73.196737
b+e,y+a,67.072883
b+e,y+i,68.679554
b+e,y+u,68.679554
b+e,y+e,67.721639
b+e,y+o,67.721639
b+e,z+a,65.432556
b+e,z+i,65.540614
b+e,z+u,65.540614
b+e,z+e,64.967262
b+e,z+o,65.520025
b+e,by+a,63.450347
b+e,by+i,63.100386
b+e,by+u,63.100386
b+e,by+e,63.096638
b+e,by+o,63.096638
b+e,ch+a,71.30877
b+e,ch+i,70.167089
b+e,ch+u,70.161167
b+e,ch+e,71.367999
b+e,ch+o,70.347102
b+e,dy+a,76.802134
b+e,dy+i,76.802134
b+e,dy+u,76.802134
b+e,dy+e,76.802134
b+e,dy+o,76.802134
b+e,gy+a,65.110829
b+e,gy+i,66.064051
b+e,gy+u,66.064051
b+e,gy+e,65.365022
b+e,gy+o,65.365022
b+e,hy+a,71.046873
b+e,hy+i,71.100901
b+e,hy+u,71.100901
b+e,hy+e,71.098879
b+e,hy+o,71.098879
b+e,ky+a,69.393581
b+e,ky+i,69.442165
b+e,ky+u,69.442165
b+e,ky+e,69.37824
b+e,ky+o,69.37824
b+e,my+a,65.954844
b+e,my+i,65.955103
b+e,my+u,65.955103
b+e,my+e,65.955499
b+e,my+o,65.955499
b+e,ny+a,66.886317
b+e,ny+i,66.717953
b+e,ny+u,66.717953
b+e,ny+e,66.886317
b+e,ny+o,66.886317
b+e,py+a,70.004107
b+e,py+i,70.544686
b+e,py+u,70.544686
b+e,py+e,70.412329
b+e,py+o,70.412329
b+e,ry+a,63.363077
b+e,ry+i,63.985853
b+e,ry+u,63.985853
b+e,ry+e,63.363077
b+e,ry+o,63.363077
b+e,sh+a,69.895248
b+e,sh+i,69.901215
b+e,sh+u,71.348223
b+e,sh+e,69.901368
b+e,sh+o,71.348228
b+e,ts+a,69.987835
b+e,ts+i,69.97618
b+e,ts+u,69.987835
b+e,ts+e,69.97618
b+e,ts+o,69.986929
b+e,sp,70.373318
b+o,b+a,61.714941
b+o,b+i,65.875074
b+o,b+u,62.423908
b+o,b+e,65.278061
b+o,b+o,58.825017
b+o,d+a,64.369256
b+o,d+i,64.848646
b+o,d+u,64.098361
b+o,d+e,65.368974
b+o,d+o,64.379141
b+o,f+a,68.669772
b+o,f+i,69.690766
b+o,f+u,69.590916
b+o,f+e,69.690766
b+o,f+o,68.669772
b+o,g+a,65.536878
b+o,g+i,65.537381
b+o,g+u,64.516116
b+o,g+e,65.504524
b+o,g+o,63.831564
b+o,h+a,69.412275
b+o,h+i,71.152717
b+o,h+u,69.413521
b+o,h+e,72.111595
b+o,h+o,70.959236
b+o,j+a,66.239635
b+o,j+i,66.404973
b+o,j+u,66.264448
b+o,j+e,66.401192
b+o,j+o,66.25079
b+o,k+a,68.861511
b+o,k+i,68.818024
b+o,k+u,67.949055
